id,product_id,nama_barang,jenis_mutasi,qty,tanggal,keterangan
1,6,"Oronamin C",keluar,17,2026-06-20,"Pengiriman rutin ke distributor"
2,3,"Pocari Sweat Botol",keluar,45,2026-07-03,"Pengiriman rutin ke distributor"
3,2,"Pocari Sweat Botol",keluar,38,2026-06-22,"Pengiriman rutin ke distributor"
4,2,"Pocari Sweat Botol",keluar,45,2026-07-05,"Pengiriman rutin ke distributor"
5,4,"Pocari Sweat Botol",keluar,31,2026-07-23,"Pengiriman rutin ke distributor"
6,2,"Pocari Sweat Botol",keluar,39,2026-06-21,"Pengiriman rutin ke distributor"
7,6,"Oronamin C",keluar,24,2026-05-07,"Pengiriman rutin ke distributor"
8,6,"Oronamin C",keluar,32,2026-07-08,"Pengiriman rutin ke distributor"
9,3,"Pocari Sweat Botol",keluar,43,2026-07-05,"Pengiriman rutin ke distributor"
10,5,"Pocari Sweat Kaleng",keluar,36,2026-07-03,"Pengiriman rutin ke distributor"
11,4,"Pocari Sweat Botol",keluar,10,2026-08-01,"Pengiriman rutin ke distributor"
12,2,"Pocari Sweat Botol",keluar,18,2026-07-20,"Pengiriman rutin ke distributor"
13,2,"Pocari Sweat Botol",keluar,47,2026-08-04,"Pengiriman rutin ke distributor"
14,4,"Pocari Sweat Botol",keluar,29,2026-05-29,"Pengiriman rutin ke distributor"
15,1,"Pocari Sweat Botol",keluar,31,2026-05-11,"Pengiriman rutin ke distributor"
16,3,"Pocari Sweat Botol",keluar,34,2026-08-01,"Pengiriman rutin ke distributor"
17,4,"Pocari Sweat Botol",keluar,18,2026-06-24,"Pengiriman rutin ke distributor"
18,1,"Pocari Sweat Botol",keluar,40,2026-05-28,"Pengiriman rutin ke distributor"
19,4,"Pocari Sweat Botol",keluar,49,2026-06-01,"Pengiriman rutin ke distributor"
20,5,"Pocari Sweat Kaleng",keluar,47,2026-07-05,"Pengiriman rutin ke distributor"
21,2,"Pocari Sweat Botol",keluar,31,2026-07-09,"Pengiriman rutin ke distributor"
22,6,"Oronamin C",keluar,28,2026-07-27,"Pengiriman rutin ke distributor"
23,7,"Ion Water Botol",keluar,25,2026-07-18,"Pengiriman rutin ke distributor"
24,4,"Pocari Sweat Botol",keluar,39,2026-07-04,"Pengiriman rutin ke distributor"
25,7,"Ion Water Botol",keluar,37,2026-06-15,"Pengiriman rutin ke distributor"
26,3,"Pocari Sweat Botol",keluar,25,2026-06-16,"Pengiriman rutin ke distributor"
27,3,"Pocari Sweat Botol",keluar,36,2026-06-04,"Pengiriman rutin ke distributor"
28,1,"Pocari Sweat Botol",keluar,27,2026-05-11,"Pengiriman rutin ke distributor"
29,7,"Ion Water Botol",keluar,50,2026-06-16,"Pengiriman rutin ke distributor"
30,5,"Pocari Sweat Kaleng",keluar,29,2026-07-22,"Pengiriman rutin ke distributor"
31,7,"Ion Water Botol",keluar,23,2026-05-15,"Pengiriman rutin ke distributor"
32,3,"Pocari Sweat Botol",keluar,49,2026-05-21,"Pengiriman rutin ke distributor"
33,4,"Pocari Sweat Botol",keluar,14,2026-05-08,"Pengiriman rutin ke distributor"
34,6,"Oronamin C",keluar,10,2026-07-10,"Pengiriman rutin ke distributor"
35,2,"Pocari Sweat Botol",keluar,37,2026-07-14,"Pengiriman rutin ke distributor"
36,1,"Pocari Sweat Botol",keluar,49,2026-07-20,"Pengiriman rutin ke distributor"
37,4,"Pocari Sweat Botol",keluar,47,2026-07-14,"Pengiriman rutin ke distributor"
38,6,"Oronamin C",keluar,18,2026-06-06,"Pengiriman rutin ke distributor"
39,6,"Oronamin C",keluar,29,2026-07-14,"Pengiriman rutin ke distributor"
40,2,"Pocari Sweat Botol",keluar,32,2026-07-26,"Pengiriman rutin ke distributor"
41,2,"Pocari Sweat Botol",keluar,35,2026-05-11,"Pengiriman rutin ke distributor"
42,4,"Pocari Sweat Botol",keluar,20,2026-05-19,"Pengiriman rutin ke distributor"
43,1,"Pocari Sweat Botol",keluar,15,2026-05-14,"Pengiriman rutin ke distributor"
44,4,"Pocari Sweat Botol",keluar,12,2026-06-05,"Pengiriman rutin ke distributor"
45,5,"Pocari Sweat Kaleng",keluar,36,2026-05-30,"Pengiriman rutin ke distributor"
46,1,"Pocari Sweat Botol",keluar,47,2026-05-08,"Pengiriman rutin ke distributor"
47,7,"Ion Water Botol",keluar,45,2026-08-01,"Pengiriman rutin ke distributor"
48,7,"Ion Water Botol",keluar,42,2026-05-09,"Pengiriman rutin ke distributor"
49,4,"Pocari Sweat Botol",keluar,26,2026-05-19,"Pengiriman rutin ke distributor"
50,7,"Ion Water Botol",keluar,34,2026-05-20,"Pengiriman rutin ke distributor"
